source_role,field,dtype,unique_values,primary_field_role,allowed_as_predictor,allowed_for_matching,allowed_for_partitioning,manual_review_required
obs083_carrier_controls,record_id,str,24,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,relation,str,4,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,target_carrier,str,6,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,target_score_basis,float64,20,outcome_or_evaluation,False,False,False,False
obs083_carrier_controls,target_score_source,str,1,outcome_or_evaluation,False,False,False,False
obs083_carrier_controls,control_carrier,str,6,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,control_record_id,str,24,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,control_score_basis,float64,20,candidate_predictor,True,False,False,False
obs083_carrier_controls,control_score_source,str,1,provenance,False,True,False,False
obs083_carrier_controls,carrier_contrast_delta,float64,91,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,carrier_contrast_abs_delta,float64,46,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,carrier_role_expected,str,6,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,carrier_role_observed,str,5,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,carrier_specificity_support,str,3,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,overbroad_carrier_flag,bool,2,forbidden_predictive_leakage,False,False,False,False
obs083_carrier_controls,geometry_sharpening_flag,bool,2,candidate_predictor,True,False,False,False
obs083_carrier_controls,evidence_available,bool,1,candidate_predictor,True,False,False,False
obs083_carrier_controls,interpretation,str,4,metadata_unresolved,False,True,False,True
